toplistindex,id,name,subs,views,uploads,countryCode,contentCategory,meantbu,mediantbu,
160,UCwD4x63A9KC7Si2RuSfg-SA,Lucas and Marcus,17.7M,4384226627,512,US,None,6.489795918367347,-5,
161,UCWi_65E_L8tQZ34C6wVAlpQ,Venus,17.6M,6644502694,4166,IN,None,-30.959183673469386,-37,
162,UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,17.6M,8678524362,284,IN,None,-0.32653061224489793,6,
163,UC4tS4Q_Cno5JVcIUXxQOOpA,Ricis Official,17.4M,2113494374,716,ID,None,-0.9183673469387755,18,
164,UCwpcLKMwiuPg4aqImpGk6Ew,La Granja de Zenón,17.2M,8629583422,198,AR,None,18.428571428571427,-168,
165,UCpB959t8iPrxQWj7G6n0ctQ,SSSniperWolf,17.2M,4334935247,2135,US,None,3.0833333333333335,-24.5,
166,UCzoUWqjCbcfWFdOMvoep8FA,Juan De Dios Pantoja,17.2M,1329773401,180,MX,None,-8,-19,
167,UCUY6t_N9MyEWu6I0ZXkbtKA,Las Ratitas,17.2M,5416083126,151,ES,None,9.16326530612245,-22,
168,NONE,PTXofficial,17.2M,4110445118,203,US,None,NONE,None,
169,UC_vcKmg67vjMP7ciLnSxSHQ,Amit Bhadana,17M,1266617397,64,IN,None,-11.775510204081632,31,
170,UCG9gfnA5UDoLvz-tC9B-HKw,GMM GRAMMY OFFICIAL,17M,16536522261,7022,TH,None,23.571428571428573,-19,
171,UCIjYyZxkFucP_W-tmXg_9Ow,Calvin Harris,16.9M,138850094,70,GB,None,37.95918367346939,0,
172,UCpGdL9Sn3Q5YWUH2DVUW1Ug,PopularMMOs,16.9M,13413810431,4529,US,None,14.46938775510204,106,
173,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,16.9M,4134733871,131594,IN,None,4.6875,-2.5,
174,UC_x8HoD18XJkILQBreVENUQ,DJ Snake,16.9M,82652457,152,US,None,-7.061224489795919,-7,
175,None,None,None,None,None,None,None,NONE,None,
176,NONE,Rajshri,16.8M,8833633976,5584,IN,None,NONE,None,
177,UC2etEuPIfohP4P53wM0KImA,5-Minute Crafts GIRLY,16.6M,2922337346,1920,US,None,0.3469387755102041,4,
178,UCYVinkwSX7szARULgYpvhLw,Ali-A,16.5M,4769927807,3295,GB,None,16.395833333333332,-32.0,
179,UCzVIrPfZBE-XkBISBybMBLA,Werevertumorro,16.5M,2664504957,1046,MX,None,-25.4375,23.5,
180,UCkAGrHCLFmlK3H2kd6isipg,Mr Bean,16.4M,5424566511,1677,GB,None,10.183673469387756,22,
181,UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty,16.4M,3501349290,3417,US,None,-16.916666666666668,-52.5,
182,UCkvK_5omS-42Ovgah8KRKtg,jeffreestar,16.3M,1947083438,357,US,None,-1.9375,13.5,
183,UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors,16.2M,10576480078,331,US,None,-3.63265306122449,6,
184,UCgwv23FVv3lqh567yagXfNg,DisneyMusicVEVO,16.2M,9922513392,985,US,None,19.6734693877551,64,
185,UC6pjHMC4QXMi4llCCjtDXWg,Lil pump,16.2M,3250427119,42,NULL,None,-0.4,0,
